year,film title,genre,cast,notes
1988,Tarka,A murder mystery,"Shankar Nag, Devaraj",
1990,Utkarsha,Thriller,"Dr.Ambareesh, Devaraj",
1991,Sangarsha,Thriller,"Dr.Vishnuvardhan, Geetha",
1994,Nishkarsha,Real time thriller,"Dr.Vishnuvardhan, Ananth Nag",Karnataka State Film Award for Best Screenplay
1996,Beladingala Baale,Love story,Ananth Nag,
1997,Nammoora Mandara Hoove,Love story,"Ramesh Aravind, Shivrajkumar, Prema",Karnataka State Film Award for Best Screenplay
1998,Prema Raaga Haadu Gelati,Love story,"Shivrajkumar, Nivedita Jain, Srinath",
1999,Pratyartha,Thriller,"Ramesh Aravind, Raghuvaran, Sudeep",
2000,Sparsha,Love story,"Sudeep, Sudha Rani",
2001,Parva,A musical love Story,"Dr.Vishnuvardhan, Prema",
2002,Marma,Suspense thriller,Prema,
2006,Ramya Chaitrakaala,A village love story,"Sandeep, Nanditha, Manasi",
2007,Kshana Kshana,A suspense thriller,"Dr.Vishnuvardhan, Aditya, Prema",
2011,Sarigama,Romance,"Prajwal Devaraj, Sunil Raoh",Filming
2013,Tanana Tandanana,Drama,"Ramesh Aravind, Ananth Nag",Filming
